iter	MultiClass
0	3.95048041
1	3.76905634
2	3.582354875
3	3.407306571
4	3.258885073
5	3.153840306
6	3.016405772
7	2.907058292
8	2.790815812
9	2.691649132
10	2.633403034
11	2.519110712
12	2.469040471
13	2.352907742
14	2.263013564
15	2.190703766
16	2.117551948
17	2.038691908
18	2.001695318
19	1.979491786
20	1.918743147
21	1.881131306
22	1.841477343
23	1.757511367
24	1.739573711
25	1.700559844
26	1.66905264
27	1.646698434
28	1.622251038
29	1.61378436
30	1.581632621
31	1.570243436
32	1.541397217
33	1.535665384
34	1.499427144
35	1.49522545
36	1.484060768
37	1.473905012
38	1.43720545
39	1.429947174
40	1.395594435
41	1.394150823
42	1.392357116
43	1.385904483
44	1.358516422
45	1.348315916
46	1.346919003
47	1.34547733
48	1.343877175
49	1.338688939
50	1.331168314
51	1.329099359
52	1.324564016
53	1.300712001
54	1.295002604
55	1.255883843
56	1.222555266
57	1.218658642
58	1.191282223
59	1.159828925
60	1.155530052
61	1.115917048
62	1.099544645
63	1.093052474
64	1.090060991
65	1.086095602
66	1.078879738
67	1.076218032
68	1.073217451
69	1.069731173
70	1.059994603
71	1.051044186
72	1.043743165
73	1.039303489
74	1.033213913
75	1.012832759
76	1.009394015
77	1.002268388
78	0.9782741114
79	0.9723498425
80	0.931977078
81	0.9122534425
82	0.9016058385
83	0.8948099804
84	0.8710738727
85	0.8699765086
86	0.8658231996
87	0.8464664568
88	0.8432959027
89	0.8393321417
90	0.8313005171
91	0.8289878939
92	0.8105939548
93	0.8032396454
94	0.8027058163
95	0.7999548194
96	0.7995194138
97	0.795709626
98	0.7867473187
99	0.7682996509
