iter	Passed	Remaining
0	239	23663
1	494	24207
2	756	24463
3	975	23400
4	1201	22820
5	1442	22595
6	1669	22183
7	1908	21949
8	2135	21589
9	2369	21324
10	2616	21169
11	2843	20852
12	3080	20613
13	3297	20256
14	3517	19934
15	3751	19695
16	3980	19434
17	4189	19083
18	4424	18863
19	4650	18603
20	4881	18364
21	5112	18127
22	5368	17973
23	5641	17866
24	5931	17793
25	6240	17760
26	6488	17542
27	6733	17315
28	6999	17137
29	7248	16912
30	7487	16664
31	7730	16427
32	7971	16184
33	8231	15979
34	8492	15770
35	8743	15543
36	8991	15310
37	9253	15097
38	9488	14841
39	9743	14615
40	9972	14350
41	10206	14094
42	10457	13861
43	10767	13704
44	11068	13527
45	11374	13352
46	11715	13211
47	11982	12981
48	12236	12735
49	12497	12497
50	12812	12309
51	13110	12101
52	13403	11886
53	13679	11652
54	14011	11463
55	14219	11172
56	14476	10920
57	14757	10686
58	15026	10442
59	15263	10175
60	15524	9925
61	15808	9689
62	16049	9425
63	16293	9165
64	16526	8898
65	16767	8637
66	17019	8382
67	17272	8128
68	17517	7870
69	17772	7616
70	17996	7350
71	18251	7097
72	18478	6834
73	18712	6574
74	18935	6311
75	19165	6052
76	19404	5796
77	19654	5543
78	19879	5284
79	20107	5026
80	20328	4768
81	20545	4510
82	20793	4258
83	21033	4006
84	21290	3757
85	21534	3505
86	21768	3252
87	22036	3004
88	22274	2753
89	22525	2502
90	22796	2254
91	23029	2002
92	23267	1751
93	23514	1500
94	23749	1249
95	24001	1000
96	24241	749
97	24482	499
98	24768	250
99	25000	0
